System ID,UPC,Item,Qty.,Price,Category
2.10E+11,8.40493E+11,Afends Indigo Meadow Short Sleeve Button Up Plaid Medium,23,$62.00,Accessories
2.10E+11,8.40777E+11,Gift Card,6,$0.00,Men's
2.10E+11,8.4079E+11,Jar Candle - Apple ''Witch,4,$10.00,Accessories
2.10E+11,8.40676E+11,Hunter Deblanc CD Something to Hold On To,20,$10.00,Outerwear
2.10E+11,8.40495E+11,Etching,14,$10.00,Accessories
2.10E+11,8.40521E+11,COLLAR MULTI PAISLEY/ WHITE TIES APRON,10,$0.00,Women's
2.10E+11,8.4053E+11,Ben Sherman L/S Button Up MA10838A Blue Depths Medium,15,$85.00,Women's
2.10E+11,8.40802E+11,RVCA Glitch Trunk MUL 30,11,$60.00,Women's
2.10E+11,8.40712E+11,Ben Sherman Long Sleeve Button Up MA10838A Blue Depths Small,18,$85.00,Outerwear
2.10E+11,8.40783E+11,Small Shipping Box 9x6x4,9,$8.00,Accessories
2.10E+11,8.40891E+11,RVCA Glitch Trunk MUL 31,6,$60.00,Men's
2.10E+11,8.40655E+11,Ben Sherman Long Sleeve Button Up MA10838A London Brick Medium,7,$85.00,Men's
2.10E+11,8.40754E+11,Special Order Fee,7,$15.00,Outerwear
2.10E+11,8.40565E+11,RVCA Glitch Trunk MUL 36,16,$60.00,Outerwear
2.10E+11,8.40546E+11,Ben Sherman Long Sleeve Button Up MA10838A London Brick Small,14,$85.00,Outerwear
2.10E+11,8.40613E+11,RAIDER BLACK ONE,23,$59.95,Women's
2.10E+11,8.40861E+11,Avva Long Sleeve Button Up A22143 Blue Medium,9,$95.00,Outerwear
2.10E+11,8.40837E+11,Ben Sherman Long Sleeve Button Up MA10842A Pine Grove Small,15,$85.00,Outerwear
2.10E+11,8.40985E+11,Goorin Bros Hat,6,$21.00,Men's
2.10E+11,8.40831E+11,Avva Long Sleeve Button Up A22143 Blue XXX Large,4,$95.00,Outerwear
2.10E+11,8.40688E+11,Ben Sherman Long Sleeve Button Up MA10844 Green Char Large,13,$85.00,Men's
2.10E+11,8.40894E+11,GOBE H,10,$85.00,Outerwear
2.10E+11,8.40543E+11,Avva Long Sleeve Button Up A422112 Black Small,11,$95.00,Outerwear
2.10E+11,8.40683E+11,Ben Sherman Long Sleeve Button Up MA10844 Green Char Medium,16,$85.00,Women's
